Master Date List,Bin 2 Flow Data (gpm),,,Bin 2 Constituent Data,,,,,,,,,,,,,,,,,,,Bin 2 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bin 2 Date,Bin 2 Inflow,Bin 2 Outflow,Date,Bin 2 TDS,Bin 2 Sulfate,Bin 2 Chloride,Bin 2 Arsenic,Bin 2 Selenium,Bin 2 Chromium,Bin 2 Copper,Bin 2 Zinc,Bin 2 Nitrate,Bin 2 Nitrite,Bin 2 Phosphorus,Bin 2 COD,Bin 2 Boron,Bin 2 Color,Bin 2 Thallium,Bin 2 DOC,Bin 2 Nitrate + Nitrite as N,Bin 2 Sulfide,Date2,Bin 2 Conductivity S/m,Bin 2 Conductivity µS/cm,Bin 2 DO mg/L,Bin 2 ORP,Bin 2 pH,Bin 2 Temp. Celsius,Bin 2 H2S mg/L
10/20/10,10/20/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,10/21/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,11/1/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,11/2/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,11/4/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,11/8/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,11/9/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,11/10/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,11/15/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,11/16/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,11/17/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,11/19/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,11/22/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,11/23/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,11/24/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,11/29/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,12/1/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,12/2/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,12/6/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,12/8/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,12/14/10,,,,,,,
12/21/10,12/21/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,12/23/10,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,1/5/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,1/5/11,,,,,,,
1/6/11,1/6/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,1/10/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,1/12/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,1/13/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,1/13/11,,,,,,,
1/20/11,1/20/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,1/20/11,,,,,,,
1/21/11,1/21/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,1/24/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,1/24/11,,,,,,,
1/25/11,1/25/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,1/26/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,1/28/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,2/1/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,2/2/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,2/4/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,2/4/11,,,,,,,
2/9/11,2/9/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,2/11/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,2/11/11,,,,,,,
2/14/11,2/14/11,0.08,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
