Master Date List,Bin 3 Flow Data (gpm),,,Bin 3 Constituent Data (mg/L),,,,,,,,,,,,,,,,,,,Bin 3 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 3 Inflow,Bin 3 Outflow,Date,Bin 3 TDS,Bin 3 Sulfate,Bin 3 Chloride,Bin 3 Arsenic,Bin 3 Selenium,Bin 3 Chromium,Bin 3 Copper,Bin 3 Zinc,Bin 3 Nitrate,Bin 3 Nitrite,Bin 3 Phosphorus,Bin 3 COD,Bin 3 Boron,Bin 3 Color,Bin 3 Thallium,Bin 3 DOC,Bin 3 Nitrate + Nitrite as N,Bin 3 Sulfide,Date,Bin 3 Conductivity S/m,Bin 3 Conductivity µS/cm,Bin 3 DO mg/L,Bin 3 ORP (mV),Bin 3 pH,Bin 3 Temp. Celsius,Bin 3 H2S mg/L
10/20/10,10/20/10,0.56,0.3359375,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,10/21/10,0.3,0.3359375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,11/1/10,0.16,0.11875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,11/2/10,0.16,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,11/4/10,0.17,0.10625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,11/8/10,0.16,0.121875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,11/9/10,0.33,0.284375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,11/10/10,0.33,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,11/15/10,0.34,0.296875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,11/16/10,0.24,0.203125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,11/17/10,0.23,0.1953125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,11/19/10,0.22,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,11/22/10,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,11/23/10,0.22,0.196875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,11/24/10,0.23,0.2015625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,11/29/10,0.23,0.1953125,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,12/1/10,0.25,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,12/2/10,0.28,0.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,12/6/10,0.28,0.2421875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,12/8/10,0.28,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,0.28,0.2796875,12/14/10,7960,1990,2560,0.0255,0.0256,0.025,0.05,0.3,56,0.6,,110,,,,,,,12/14/10,,9401,,49,7.17,19.5,
12/21/10,12/21/10,0.28,0.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,12/23/10,0.23,0.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,1/5/11,0.25,0.2078125,,,,,,,,,,,,,,,,,,,,1/5/11,,9196,,201,7.32,13.4,
1/6/11,1/6/11,0.23,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,1/10/11,0.23,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,1/12/11,0.23,0.203125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,1/13/11,0.22,0.203125,,,,,,,,,,,,,,,,,,,,1/13/11,,9852,,183,7.32,22.5,
1/20/11,1/20/11,0.23,0.190625,1/20/11,8150,2050,2640,0.024,0.0276,0.005,0.01,0.06,59,0.5,0.064,310,,,,,,,1/20/11,,9416,,182,7.28,16.6,
1/21/11,1/21/11,0.23,0.203125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,1/24/11,0.22,0.2,,,,,,,,,,,,,,,,,,,,1/24/11,,9343,,178,7.28,17.3,
1/25/11,1/25/11,0.1,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,1/26/11,0.13,0.1015625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,1/28/11,0.1,0.1015625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,2/1/11,0.1,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,2/2/11,0.1,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,2/4/11,0.13,0.1203125,,,,,,,,,,,,,,,,,,,,2/4/11,,9083,,209,7.32,17.8,
2/9/11,2/9/11,0.12,0.0921875,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,2/11/11,0.1,0.1015625,,,,,,,,,,,,,,,,,,,,2/11/11,,8556,,181,7.48,18.9,
2/14/11,2/14/11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/11,2/22/11,0.1,0.1015625,,,,,,,,,,,,,,,,,,,,2/22/11,,8682,,191,7.29,18.8,
3/2/11,3/2/11,0.11,0.0921875,3/2/11,7160,1710,2400,0.0277,0.0227,0.005,0.01,0.06,51,0.6,0.05,380,,,,,,,3/2/11,,8561,3.75,185,7.28,18.7,
3/9/11,3/9/11,0.13,0.10625,,,,,,,,,,,,,,,,,,,,3/9/11,,8783,7.2,-116,7.26,17.3,
3/11/11,3/11/11,0.1,0.0734375,,,,,,,,,,,,,,,,,,,,3/11/11,,8610,6.55,176,7.23,25.9,
3/18/11,3/18/11,0.04,0.0515625,,,,,,,,,,,,,,,,,,,,3/18/11,,8969,4.74,160,7.28,27.2,
3/25/11,3/25/11,0.1,0.06875,,,,,,,,,,,,,,,,,,,,3/25/11,,8815,4.31,159,7.23,22.3,
4/3/11,,,,4/3/11,7540,,,0.0296,0.0274,0.005,0.01,0.06,,,0.035,,,,,,,,,,,,,,,
4/8/11,4/8/11,0.1,0.071875,,,,,,,,,,,,,,,,,,,,4/8/11,,8852,,165,7.42,19.7,
4/20/11,4/20/11,0.1,0.0703125,,,,,,,,,,,,,,,,,,,,4/20/11,,9855,3.19,164,7.25,27.1,
5/2/11,5/2/11,0.1,0.0703125,,,,,,,,,,,,,,,,,,,,5/2/11,,10990,2.25,145,7.15,22.2,
5/5/11,,,,5/5/11,9530,2500,3270,0.0241,0.0383,0.005,,,43,1.1,0.036,320,,,,,,,,,,,,,,
5/9/11,5/9/11,0.1,0.06953125,,,,,,,,,,,,,,,,,,,,5/9/11,,11970,3.62,170,7.09,22.2,
5/16/11,5/16/11,0.1,0.0671875,,,,,,,,,,,,,,,,,,,,5/16/11,,11930,3.83,-124,7.11,27.1,
5/20/11,5/20/11,0.09,0.075,,,,,,,,,,,,,,,,,,,,5/20/11,,11540,2.63,-70,7.05,25.3,
5/27/11,5/27/11,0.1,0.075,5/27/11,,,,0.0242,0.0426,,,,42,,,,,,,,,,5/27/11,,11480,4.97,150,6.98,27.1,
6/3/11,6/3/11,0.12,0.08125,,,,,,,,,,,,,,,,,,,,6/3/11,,11520,2.2,-153,7.23,28.8,
6/8/11,6/8/11,0.1,0.07421875,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/11,,,,,,,,,,,,,,,,,,,,,,,6/10/11,,10096,1.18,-148,7.04,29.3,
6/17/11,6/17/11,0.1,0.06640625,,,,,,,,,,,,,,,,,,,,6/17/11,,10080,2.08,-16,7.02,29.5,
6/24/11,6/24/11,0.1,0.0515625,6/24/11,8890,,,0.0229,0.0289,0.005,,,,,0.049,,,,,,,,6/24/11,,10790,1.9,13,7.32,29.8,
7/1/11,7/1/11,0.08,0.04765625,,,,,,,,,,,,,,,,,,,,7/1/11,,10410,2.22,-46,7.23,32,
7/8/11,7/8/11,0.08,0.02734375,,,,,,,,,,,,,,,,,,,,7/8/11,,10860,3.45,-67,7.11,34.3,
7/15/11,7/15/11,0.1,0.0828125,,,,,,,,,,,,,,,,,,,,7/15/11,,10800,1.51,-133,7.03,32.4,
7/22/11,7/22/11,0.1,0.078125,7/22/11,9010,2270,3080,0.0226,0.0328,0.005,,,27,,0.02,140,,,,,,,7/22/11,,10990,2.28,-169,7.01,33.8,
7/25/11,7/25/11,0.1,0.08515625,,,,,,,,,,,,,,,,,,,,,,,,,,,
