Master Date List,Bin 5 Flow Data (gpm),,,Bin 5,,,,,,,,,,,,,,,,,,,Bin 5 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 5 Inflow (Bin 1),Bin 5 Outflow,Date,Bin 5 TDS,Bin 5 Sulfate,Bin 5 Chloride,Bin 5 Arsenic,Bin 5 Selenium,Bin 5 Chromium,Bin 5 Copper,Bin 5 Zinc,Bin 5 Nitrate,Bin 5 Nitrite,Bin 5 Phosphorus,Bin 5 COD,Bin 5 Boron,Bin 5 Color,Bin 5 Thallium,Bin 5 DOC,Bin 5 Nitrate + Nitrite as N,Bin 5 Sulfide,Date,Bin 5 Conductivity S/m,Bin 5 Conductivity µS/cm,Bin 5 DO mg/L,Bin 5 ORP,Bin 5 pH,Bin 5 Temp. Celsius,Bin 5 H2S mg/L
10/20/10,10/20/10,0.3984375,0.4109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,10/21/10,0.1875,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,11/1/10,0.109375,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,11/2/10,0.09375,0.0578125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,11/4/10,0.09375,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,11/8/10,0.109375,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,11/9/10,0.234375,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,11/10/10,0.234375,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,11/15/10,0.2421875,0.2421875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,11/16/10,0.140625,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,11/17/10,0.1484375,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,11/19/10,0.140625,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,11/23/10,0.1328125,0.0796875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,11/24/10,0.153125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,11/29/10,0.1484375,0.10625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,12/1/10,0.15625,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,12/2/10,0.159375,0.1140625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,12/6/10,0.1640625,0.121875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,12/8/10,0.1640625,0.1171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,0.2265625,0.171875,12/14/10,8130,2010,2670,0.0231,0.0261,0.025,0.05,0.3,58,0.2,NA,110,NA,,,,,,12/14/10,,9637,,-46,7.11,19.1,
12/21/10,12/21/10,0.203125,0.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,12/23/10,0.171875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,1/5/11,0.19375,0.140625,,,,,,,,,,,,,,,,,,,,1/5/11,,9328,,-23,7.31,12.1,
1/6/11,1/6/11,0.1875,0.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,1/10/11,0.1875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,1/12/11,0.19375,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,1/13/11,0.2015625,0.134375,,,,,,,,,,,,,,,,,,,,1/13/11,,9738,,-15,7.2,20.6,
1/20/11,1/20/11,0.2,0.1796875,1/20/11,8200,2060,2630,0.0231,0.0307,0.005,0.01,0.06,59,0.1,0.092,180,NA,,,,,,1/20/11,,9495,,-71,7.32,16.3,
1/21/11,1/21/11,0.1875,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,1/24/11,0.19375,0.17578125,,,,,,,,,,,,,,,,,,,,1/24/11,,9454,,-90,7.26,15.7,
1/25/11,1/25/11,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,1/26/11,0.071875,0.0328125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,1/28/11,0.078125,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,2/1/11,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,2/2/11,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,2/4/11,0.0734375,0.06484375,,,,,,,,,,,,,,,,,,,,2/4/11,,9295,,-124,7.31,15.4,
2/9/11,2/9/11,0.0671875,0.0265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,2/11/11,0.075,0.040625,,,,,,,,,,,,,,,,,,,,2/11/11,,9098,,-53,7.54,19.8,
2/14/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/11,2/22/11,0.0734375,0.034375,,,,,,,,,,,,,,,,,,,,2/22/11,,9129,,-62,7.34,16.3,
3/2/11,3/2/11,0.0828125,0.053125,3/2/11,7650,1840,2630,0.022,0.0289,0.005,0.01,0.06,55,0.1,0.05,260,NA,,,,,,3/2/11,,9106,4.33,-140,7.29,17.5,
3/9/11,3/9/11,0.040625,0.034375,,,,,,,,,,,,,,,,,,,,3/9/11,,9168,3.01,28,7.15,17.8,
3/11/11,3/11/11,,0.08984375,,,,,,,,,,,,,,,,,,,,3/11/11,,8821,6.8,-69,7.2,25,
3/18/11,3/18/11,0.121875,0.0859375,,,,,,,,,,,,,,,,,,,,3/18/11,,8755,5.08,-126,7.21,26.6,
3/25/11,3/25/11,0.15625,0.11875,,,,,,,,,,,,,,,,,,,,3/25/11,,8745,3.79,-123,7.17,20.2,
4/3/11,,,,4/3/11,7400,NA,NA,0.0274,0.0306,0.005,0.01,0.06,NA,NA,0.038,NA,NA,,,,,,,,,,,,,
4/8/11,4/8/11,0.1484375,0.0828125,,,,,,,,,,,,,,,,,,,,4/8/11,,8802,,-186,7.23,20.2,
