Master Date List,Bin 6 Flow Data (gpm),,,Bin 6 Constituent Data,,,,,,,,,,,,,,,,,,,Bin 6 Field Data,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Bin 6 Inflow (Bin 2),Bin 6 Outflow,Date,Bin 6 TDS,Bin 6 Sulfate,Bin 6 Chloride,Bin 6 Arsenic,Bin 6 Selenium,Bin 6 Chromium,Bin 6 Copper,Bin 6 Zinc,Bin 6 Nitrate,Bin 6 Nitrite,Bin 6 Phosphorus,Bin 6 COD,Bin 6 Boron,Bin 6 Color,Bin 6 Thallium,Bin 6 DOC,Bin 6 Nitrate + Nitrite as N,Bin 6 Sulfide,Date,Bin 6 Conductivity S/m,Bin 6 Conductivity µS/cm,Bin 6 DO mg/L,Bin 6 ORP,Bin 6 pH,Bin 6 Temp. Celsius,Bin 6 H2S mg/L
10/20/10,10/20/10,0.09375,0.04375,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,10/21/10,0.078125,0.034375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,11/1/10,0.090625,0.04375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,11/2/10,0.08125,0.0234375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,11/4/10,0.078125,0.0234375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,11/8/10,0.0921875,0.0484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,11/9/10,0.309375,0.2578125,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,11/10/10,0.3125,0.265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,11/15/10,0.309375,0.2640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,11/16/10,0.2265625,0.2265625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,11/17/10,0.253125,0.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,11/19/10,0.234375,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,11/22/10,0.2328125,0.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,11/23/10,0.2109375,0.1734375,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,11/24/10,0.2328125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,11/29/10,0.2171875,0.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,12/1/10,0.265625,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,12/2/10,0.234375,0.1890625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,12/6/10,0.2265625,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,12/8/10,0.421875,0.1734375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,0.4765625,0.309375,12/14/10,8890,2280,2940,0.0235,0.0198,0.025,0.05,0.3,1.2,0.1,NA,250,NA,,,,,,12/14/10,,10560,,-132,7.25,16.6,
12/21/10,12/21/10,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,12/23/10,0.234375,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,1/5/11,0.2296875,0.1734375,,,,,,,,,,,,,,,,,,,,1/5/11,,9286,,-8,7.4,9.7,
1/6/11,1/6/11,0.2296875,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,1/10/11,,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,1/12/11,,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,1/13/11,,0.184375,,,,,,,,,,,,,,,,,,,,1/13/11,,9544,,9,7.4,20.6,
1/20/11,1/20/11,,0.0859375,1/20/11,8390,2260,2750,0.0226,0.0264,0.005,0.01,0.06,12.3,0.6,0.276,170,NA,,,,,,1/20/11,,9812,,-19,7.36,13.4,
1/21/11,1/21/11,,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,1/24/11,,0.171875,,,,,,,,,,,,,,,,,,,,1/24/11,,10010,,-39,7.34,12.6,
1/25/11,1/25/11,,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,1/26/11,,0.0703125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,1/28/11,,0.046875,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,2/1/11,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,2/2/11,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,2/4/11,,0.1046875,,,,,,,,,,,,,,,,,,,,2/4/11,,9651,,-172,7.32,15.4,
2/9/11,2/9/11,0.1421875,0.0640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,2/11/11,,0.0734375,,,,,,,,,,,,,,,,,,,,2/11/11,,9509,,-27,7.46,20.2,
2/14/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/11,2/22/11,,0.0765625,,,,,,,,,,,,,,,,,,,,2/22/11,,9664,,-81,7.26,17.1,
3/2/11,3/2/11,,0.06953125,3/2/11,7890,1840,2650,0.0141,0.0185,0.005,0.01,0.06,0.1,0.1,0.816,410,NA,,,,,,3/2/11,,9363,2.45,-127,7.29,16.9,
3/9/11,3/9/11,0.09375,0.0546875,,,,,,,,,,,,,,,,,,,,3/9/11,,9243,7.43,-44,7.18,15.7,
3/11/11,3/11/11,,0.0484375,,,,,,,,,,,,,,,,,,,,3/11/11,,8953,6.12,-152,7.22,26.7,
3/18/11,3/18/11,0.0796875,0.046875,,,,,,,,,,,,,,,,,,,,3/18/11,,9280,4.5,-205,7.19,25.9,
