Master Date List,Bin 1 Flow Data (gpm),,,Bin 1 Constituent Data,,,,,,,,,,,,,,,,,,,Bin 1 Field Data,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Inflow,Outflow,Date,Bin 1 TDS,Bin 1 Sulfate,Bin 1 Chloride,Bin 1 Arsenic,Bin 1 Selenium,Bin 1 Chromium,Bin 1 Copper,Bin 1 Zinc,Bin 1 Nitrate,Bin 1 Nitrite,Bin 1 Phosphorus,Bin 1 COD,Bin 1 Boron,Bin 1 Color,Bin 1 Thallium,Bin 1 DOC,Bin 1 Nitrate + Nitrite as N,Bin 1 Sulfide,Date,Bin 1 Conductivity S/m,Bin 1 Conductivity µS/cm,Bin 1 DO mg/L,Bin 1 ORP,Bin 1 pH,Bin 1 Temp. Celsius,Bin 1 H2S mg/L,
10/20/10,10/20/10,0.52,0.3984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,10/21/10,0.29,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,11/1/10,0.21,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,11/2/10,0.21,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,11/4/10,0.21,0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,11/8/10,0.21,0.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,11/9/10,0.34,0.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,11/10/10,0.33,0.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,11/15/10,0.33,0.2421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,11/16/10,0.23,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,11/17/10,0.23,0.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,11/19/10,0.22,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,11/23/10,0.23,0.1328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,11/24/10,0.24,0.153125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,11/29/10,0.23,0.1484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,12/1/10,0.23,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,12/2/10,0.23,0.159375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,12/6/10,0.23,0.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,12/8/10,0.23,0.1640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,0.28,0.2265625,12/14/10,7840,1960,2570,0.0254,0.0255,0.025,0.05,0.3,58,0.2,,190,,,,,,,12/14/10,,9356,,35,7.27,20.5,,
12/21/10,12/21/10,0.28,0.203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,12/23/10,0.23,0.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,1/5/11,0.23,0.19375,,,,,,,,,,,,,,,,,,,,1/5/11,,9186,,205,7.37,14.8,,
1/6/11,1/6/11,0.23,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,1/10/11,0.23,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,1/12/11,0.23,0.19375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,1/13/11,0.24,0.2015625,,,,,,,,,,,,,,,,,,,,1/13/11,,9841,,200,7.3,23,,
1/20/11,1/20/11,0.23,0.2,1/20/11,7770,2020,2610,0.0278,0.0337,0.005,0.01,0.06,61,0.1,0.063,130,,,,,,,1/20/11,,9262,,183,7.33,18.1,,
1/21/11,1/21/11,0.23,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,1/24/11,0.23,0.19375,,,,,,,,,,,,,,,,,,,,1/24/11,,9143,,188,7.3,17.8,,
1/25/11,1/25/11,0.1,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,1/26/11,0.1,0.071875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,1/28/11,0.1,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,2/1/11,0.1,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,2/2/11,0.1,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,2/4/11,0.1,0.0734375,,,,,,,,,,,,,,,,,,,,2/4/11,,8976,,221,7.32,19,,
2/9/11,2/9/11,0.1,0.0671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,2/11/11,0.1,0.075,,,,,,,,,,,,,,,,,,,,2/11/11,,8705,,181,7.49,19.4,,
2/14/11,2/14/11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/11,2/22/11,0.1,0.0734375,,,,,,,,,,,,,,,,,,,,2/22/11,,8640,,194,7.3,18.8,,
3/2/11,3/2/11,0.14,0.0828125,3/2/11,7190,1720,2460,0.0247,0.0208,0.005,0.01,0.06,54,0.1,0.05,280,,,,,,,3/2/11,,8556,3.63,187,7.29,18.7,,
3/9/11,3/9/11,0.1,0.040625,,,,,,,,,,,,,,,,,,,,3/9/11,,8853,2.94,-80,7.26,16.8,,
3/11/11,3/11/11,0.21,,,,,,,,,,,,,,,,,,,,,3/11/11,,8336,4.44,185,7.24,27,,
3/18/11,3/18/11,0.18,0.121875,,,,,,,,,,,,,,,,,,,,3/18/11,,8363,4.62,158,7.33,26.3,,
