Master Date List,Date,Brine TDS,Brine Sulfate,Brine Chloride,Brine Arsenic,Brine Selenium,Brine Chromium,Brine Copper,Brine Zinc,Brine Nitrate,Brine Nitrite,Brine Phosphorus,Brine COD,Brine Boron,Brine Color,Brine Thallium,Brine DOC,Brine Nitrate + Nitrite as N,Brine Sulfide,Date,Brine Conductivity S/m,Brine Conductivity µS/cm,Brine DO mg/L,Brine ORP,Brine pH,Brine Temp. Celsius,Brine H2S mg/l
10/20/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/22/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/10,12/14/10,7920,1930,2490,0.0257,0.025,0.042,0.03,0.18,58,0.1,,98,,,,,,,12/14/10,,9374,,9,7.5,23.3,
12/21/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/11,,,,,,,,,,,,,,,,,,,,1/5/11,,9262,,204,7.6,22.3,
1/6/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/11,,,,,,,,,,,,,,,,,,,,1/13/11,,9608,,204,7.5,25.9,
1/20/11,1/20/11,7810,1970,2560,0.0285,0.0323,0.046,0.01,0.06,61,0.1,0.077,130,,,,,,,1/20/11,,9174,,180,7.57,24,
1/21/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/11,,,,,,,,,,,,,,,,,,,,1/24/11,,8582,,188,7.5,24.2,
1/25/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/11,,,,,,,,,,,,,,,,,,,,2/4/11,,7952,,227,7.47,24.5,
2/9/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/11,,,,,,,,,,,,,,,,,,,,2/11/11,,8196,,189,7.6,25.9,
2/14/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/11,,,,,,,,,,,,,,,,,,,,2/22/11,,7837,,200,7.56,26.4,
3/2/11,3/2/11,6740,1550,2210,0.0245,0.0221,0.042,0.01,0.06,55,0.1,0.05,240,,,,,,,3/2/11,,7978,6.79,190,7.5,24.6,
3/9/11,,,,,,,,,,,,,,,,,,,,3/9/11,,7823,6.79,110,7.54,26.7,
3/11/11,,,,,,,,,,,,,,,,,,,,3/11/11,,7863,6.42,180,7.53,27.7,
3/18/11,,,,,,,,,,,,,,,,,,,,3/18/11,,8048,6.28,152,7.54,29.4,
3/25/11,,,,,,,,,,,,,,,,,,,,3/25/11,,8123,7.38,153,7.49,27,
4/3/11,4/3/11,6360,,,0.031,0.0276,0.048,0.01,0.06,,,0.032,,,,,,,,,,,,,,,
4/8/11,,,,,,,,,,,,,,,,,,,,4/8/11,,7900,,178,7.56,26.8,
4/20/11,,,,,,,,,,,,,,,,,,,,4/20/11,,9776,6.68,201,7.49,26.3,
5/2/11,,,,,,,,,,,,,,,,,,,,5/2/11,,10460,6.62,174,7.49,26.4,
5/5/11,5/5/11,7890,2140,2600,0.0185,0.0313,0.029,,,59,0.1,0.033,320,,,,,,,,,,,,,,
5/9/11,,,,,,,,,,,,,,,,,,,,5/9/11,,10640,6.51,201,7.48,21.9,
5/16/11,,,,,,,,,,,,,,,,,,,,5/16/11,,10060,6.4,-6,7.46,28,
5/20/11,,,,,,,,,,,,,,,,,,,,5/20/11,,9862,6.08,135,7.6,27.5,
5/27/11,5/27/11,,,,0.022,0.0311,,,,63,,,,,,,,,,5/27/11,,10290,6.07,144,7.45,28.4,
6/3/11,,,,,,,,,,,,,,,,,,,,6/3/11,,9080,5.9,-29,7.78,28.9,
6/8/11,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/11,,,,,,,,,,,,,,,,,,,,6/10/11,,8910,5.79,21,7.6,29.3,
6/17/11,,,,,,,,,,,,,,,,,,,,6/17/11,,8615,5.7,61,7.59,30.2,
6/24/11,6/24/11,8000,,,0.024,0.0237,0.04,,,,,0.044,,,,,,,,6/24/11,,9758,5.8,24,7.94,27.4,
7/1/11,,,,,,,,,,,,,,,,,,,,7/1/11,,9155,5.63,-58,7.61,30,
7/8/11,,,,,,,,,,,,,,,,,,,,7/8/11,,8980,5.42,-6,7.55,30.3,
